person_id,movie_id
578,66540
2058,66543
376101,66543
80,66549
1626,66549
1768,66549
1719,66563
500038,66563
1926,66580
2032,66580
1421,66605
908919,66605
283499,66728
427894,66728
731634,66728
277,66730
457,66730
2096,66730
382411,66730
92,66765
416,66765
1037,66765
1589,66765
125,66767
1007,66767
239816,66793
705072,66793
95,66808
489837,66808
621,66811
283499,66811
1450,66817
1522,66817
142,66819
656183,66819
302,66822
307255,66822
765546,66822
1285,66826
1884,66826
47,66829
147983,66829
947,66856
1719,66856
197,66892
268,66892
298,66892
307316,66892
1036,66898
511798,66898
559,66900
1077,66900
314,66907
1588,66907
430151,66907
643000,66907
906627,66907
926235,66907
1699,66920
1816,66920
1976,66929
74125,66929
277975,66967
360081,66967
314,66970
880521,66970
511,66986
550318,66986
813755,66986
860681,66986
603,66993
1657,66993
80,66997
142,66997
142,66999
763858,66999
1159,67003
5078,67003
950867,67003
432,67004
1007,67004
1077,67004
1522,67065
226947,67065
71,67109
1421,67109
1510,67109
432,67116
1702,67116
516215,67116
303,67119
846,67119
1265,67119
336,67140
1768,67140
53,67146
1821,67146
76252,67146
882853,67146
18,67168
737,67168
947,67168
1768,67180
342732,67180
614916,67180
1228,67204
643105,67204
1588,67216
1725,67216
246004,67217
400464,67217
28647,67219
283499,67219
461455,67219
298,67224
432,67224
1657,67224
643000,67224
2096,67228
234541,67228
277975,67243
428086,67243
1136,67245
170427,67245
440487,67245
696330,67245
1058,67248
193661,67248
35866,67258
274016,67258
656183,67258
731772,67258
961,67277
1673,67277
18,67297
2145,67297
323,67302
2145,67302
626259,67303
908919,67303
404,67309
661,67309
1702,67309
313,67328
961,67328
1732,67328
44,67333
380,67333
18,67345
2058,67345
1285,67350
306696,67350
933361,67350
1007,67359
492342,67359
1159,67382
1449,67382
1321,67388
1379,67388
603,67402
413559,67402
1137,67411
41281,67411
257,67419
302,67419
226947,67419
1025,67433
1687,67433
47,67437
52,67437
1673,67457
442304,67457
577,67531
6893,67531
611707,67531
638395,67531
1627,67535
636065,67535
199,67549
109175,67549
1186,67568
813961,67568
527,67589
364455,67589
822972,67589
1347,67634
384050,67634
765546,67634
1058,67645
1186,67645
68552,67645
1077,67659
1796,67659
80,67699
197,67699
1839,67699
492734,67699
698413,67699
919924,67699
1330,67710
946179,67710
489,67713
360081,67713
913993,67713
52,67719
2094,67719
277,67738
453,67738
1136,67756
6956,67756
693420,67756
726492,67756
1258,67763
1283,67763
164540,67763
314,67773
578,67773
56,67774
765546,67774
57,67791
1816,67791
163,67800
1265,67800
1007,67801
642198,67801
140,67804
882853,67804
1919,67805
413559,67805
298,67817
1001,67817
1967,67817
35057,67838
59946,67838
73435,67838
73675,67838
1699,67870
1727,67870
603,67881
991,67881
366,67900
1077,67900
308,67914
86706,67914
275213,67914
1884,67919
880521,67919
44,67921
164540,67921
1648,67927
628017,67927
237244,67958
896557,67958
1666,67975
1859,67975
164,67976
605923,67976
163,67980
364455,67980
1500,67989
641939,67989
1117,67991
516800,67991
1796,68005
614677,68005
467,68011
748270,68011
303,68022
1417,68022
52,68026
366,68026
177228,68173
402032,68173
1036,68207
273178,68207
2769,68226
181305,68226
493,68240
5236,68240
28647,68240
720890,68240
1537,68274
638395,68274
1016,68309
1347,68309
1627,68317
226947,68317
443,68326
1902,68326
897,68332
1693,68332
602,68334
1967,68334
336,68337
385757,68337
642198,68337
1007,68347
1725,68347
643105,68356
752751,68356
432,68384
947,68384
1434,68384
1765,68384
1522,68408
614916,68408
1648,68413
86706,68413
1136,68421
1975,68421
489,68424
1088,68424
1765,68429
693420,68429
693443,68429
928061,68429
5019,68435
39435,68435
2769,68441
598971,68441
273,68452
1185,68452
608,68473
685,68473
885,68473
1074,68473
52,68488
1657,68488
846,68498
2096,68498
489,68505
1088,68505
947,68509
1136,68509
80,68521
578,68521
95,68555
698,68555
489837,68555
404,68562
661,68562
580565,68571
614677,68571
313,68575
5078,68575
163748,68575
6893,68576
628017,68576
1058,68577
1088,68577
2096,68577
385,68615
1537,68615
79,68617
608,68617
643,68617
80,68637
1684,68637
648920,68640
906627,68640
8,68646
199,68646
473,68646
1001,68646
380,68661
35866,68661
39435,68661
731772,68661
577,68663
67785,68663
693420,68663
765546,68663
1215,68669
277975,68669
977,68674
1811,68674
79,68675
308,68675
1301,68687
1732,68687
75588,68687
1321,68694
2769,68694
121091,68694
442332,68694
142,68699
752751,68699
1265,68702
1699,68702
271,68711
336,68711
626728,68711
489,68713
1088,68713
602,68718
1719,68718
500038,68718
761190,68718
28674,68726
71824,68726
489,68727
1088,68727
587,68742
1036,68742
587,68763
1117,68763
142,68768
380,68768
768334,68768
991,68774
6893,68774
35866,68789
614916,68789
197,68805
995,68805
1136,68805
732783,68805
57,68806
728,68806
961,68850
1749,68850
1699,68863
813961,68863
52,68868
366,68868
