id,title,year
69097,"Play It Again, Sam",1972
69098,Play It As It Lays,1972
69103,Pocket Money,1972
69112,Portnoy's Complaint,1972
69113,The Poseidon Adventure,1972
69121,Prime Cut,1972
69131,The Public Eye,1972
69158,Rage,1972
69159,"A Reason to Live, a Reason to Die",1972
69212,The Salzburg Connection,1972
69220,Without Appeal,1973
69225,Savage Messiah,1972
69229,Treasure Island,1972
69248,Senza ragione,1973
69278,Skyjacked,1972
69280,Slaughterhouse-Five,1972
69282,Slither,1973
69291,Snowball Express,1972
69303,Sounder,1972
69307,Stand Up and Be Counted,1972
69318,Straight on Till Morning,1972
69341,Tales from the Crypt,1972
69371,They Only Kill Their Masters,1972
69385,To Find a Man,1972
69386,To Kill a Clown,1972
69398,Tout Va Bien,1972
69404,Travels with My Aunt,1972
69414,Trouble Man,1972
69436,Ulzana's Raid,1972
69457,Summertime Killer,1972
69483,The War Between Men and Women,1972
69487,Watched!,1974
69489,Wedding in White,1972
69495,"What's Up, Doc?",1972
69496,When the Legends Die,1972
69515,The Wrath of God,1972
69524,You and Me,1974
69528,Young Winston,1972
69530,Z.P.G.,1972
69676,Ace Eli and Rodger of the Skies,1973
69678,'Tis Pity She's a Whore,1971
69688,Alien Thunder,1974
69762,Badlands,1973
69765,Bang the Drum Slowly,1973
69805,Blueblood,1974
69808,Blume in Love,1973
69824,"Brother Sun, Sister Moon",1972
69841,Cannibal Girls,1973
69866,Charley and the Angel,1973
69883,Cinderella Liberty,1973
69912,Le complot,1973
69923,Cotter,1973
69960,Il delitto Matteotti,1973
69976,Dillinger,1973
69979,Mean Frank and Crazy Tony,1973
69987,A Doll's House,1973
69988,A Doll's House,1973
69989,The Don Is Dead,1973
70022,Electra Glide in Blue,1973
70030,Emperor of the North,1973
70040,The Spirit of the Beehive,1973
70047,The Exorcist,1973
70068,40 Carats,1973
70077,The Friends of Eddie Coyle,1973
70078,From Beyond the Grave,1974
70083,The Outside Man,1972
70102,Prologue to Wounded Knee,1973
70157,The Harrad Experiment,1973
70158,Harry in Your Pocket,1973
70162,Hay que matar a B.,1974
70164,Happy as the Grass Was Green,1973
70170,Henry VIII and His Six Wives,1972
70174,Hex,1973
70183,Hit!,1973
70238,Jeremy,1973
70263,Kamouraska,1973
70267,Kid Blue,1973
70284,Lady Ice,1973
70287,The Last American Hero,1973
70289,The Final Programme,1973
70290,The Last Detail,1973
70291,The Last of Sheila,1973
70292,The Laughing Policeman,1973
70294,The Legend of Hell House,1973
70332,Lolly-Madonna XXX,1973
70334,The Long Goodbye,1973
70337,Lost Horizon,1973
70351,The MacKintosh Man,1973
70355,Magnum Force,1973
70379,Mean Streets,1973
70438,The Neptune Factor,1973
70446,Nightmare Honeymoon,1974
70460,Day for Night,1973
70468,The Offence,1973
70472,Oklahoma Crude,1973
70481,One Little Indian,1973
70509,The Paper Chase,1973
70510,Paper Moon,1973
70518,Pat Garrett & Billy the Kid,1973
70524,Penny Gold,1973
70552,High Crime,1973
70578,The Pyx,1973
70599,A Reflection of Fear,1972
70600,Die Reise nach Wien,1973
70605,Rhinoceros,1974
70616,Running Wild,1973
70625,Salut l'artiste,1973
70634,The Satanic Rites of Dracula,1973
70640,Save the Tiger,1973
70643,Scarecrow,1973
70672,The Seven-Ups,1973
70680,Shamus,1973
70698,Sisters,1972
70707,Sleeper,1973
70716,Superdad,1973
70721,The Soul of Nigger Charley,1973
70731,Steelyard Blues,1973
70735,The Sting,1973
70739,Story of a Love Story,1973
70794,The Thief Who Came to Dinner,1973
70819,A Touch of Class,1973
70827,Shock Treatment,1973
70835,The Triple Echo,1972
70903,The Way We Were,1973
70915,White Lightning,1973
70916,"Wicked, Wicked",1973
70919,Orville and Wilbur,1973
70928,The World's Greatest Athlete,1973
70945,Your Three Minutes Are Up,1973
70948,Zardoz,1974
70960,L'événement le plus important depuis que l'homme a marché sur la Lune,1973
71080,11 Harrowhouse,1974
71089,99 and 44/100% Dead!,1974
71110,Airport 1975,1974
71115,Alice Doesn't Live Here Anymore,1974
71133,The Love of Captain Brando,1974
71154,Appassionata,1974
71155,The Apprenticeship of Duddy Kravitz,1974
71162,"Run, Run, Joe!",1974
71196,Barry McKenzie Holds His Own,1974
71211,Between Wars,1974
71216,Big Bad Mama,1974
71222,Black Christmas,1974
71229,The Black Windmill,1974
71233,Blood for Dracula,1974
71258,Buster and Billie,1974
71259,Busting,1974
71260,Butley,1974
71269,California Split,1974
71288,The Castaway Cowboy,1974
71292,Open Season,1974
71312,Child Under a Leaf,1974
71315,Chinatown,1974
71334,Claudine,1974
71338,Cockfighter,1974
71358,Conrack,1974
71360,The Conversation,1974
71369,Crazy Joe,1974
71370,The Crazy World of Julius Vrooder,1974
71379,El cumpleaños del perro,1975
71385,Daisy Miller,1974
71391,Dark Places,1974
71398,Deadly Strangers,1975
71402,Death Wish,1974
71424,Dirty Mary Crazy Larry,1974
71438,The Dove,1974
71455,Earthquake,1974
71459,One or the Other,1974
71483,Wrong Move,1975
71508,Flesh for Frankenstein,1973
71519,Frankenstein and the Monster from Hell,1974
71521,Freebie and the Bean,1974
71524,The Front Page,1974
71532,The Gambler,1974
71550,The Slap,1974
71554,The Girl from Petrovka,1974
71562,The Godfather: Part II,1974
71566,Gold,1974
71575,The Gravy Train,1974
71577,The Great Gatsby,1974
71583,The Groove Tube,1974
71594,Hangup,1974
71598,Harry and Tonto,1974
71599,Chance and Violence,1974
71648,Il faut vivre dangereusement,1975
71663,The Internecine Project,1974
71677,It's Not the Size That Counts,1974
71706,Juggernaut,1974
71746,Lenny,1974
71760,Little Malcolm and His Struggle Against the Eunuchs,1974
71762,The Little Prince,1974
71772,The Lords of Flatbush,1974
71777,Love at First Sight,1977
71780,Lovin' Molly,1974
71798,The Maids,1975
71806,Man on a Swing,1974
71838,The Midnight Man,1974
71853,Monty Python and the Holy Grail,1975
71864,Love at the Top,1974
71867,Mr. Sycamore,1975
71877,Murder on the Orient Express,1974
71880,The Last 4 Days,1974
71902,Newman's Law,1974
71910,The Night Porter,1974
71935,The Odessa File,1974
71942,One by One,1974
71956,Written Off,1974
71960,The Outfit,1973
71991,Petersen,1974
72007,What Have They Done to Your Daughters?,1974
72025,Acting Hamlet in the Village of Mrdusa Donja,1974
72034,The Prisoner of Second Avenue,1975
72036,Processo per direttissima,1974
72107,S*P*Y*S,1974
72123,The Flower in His Mouth,1975
72130,The Second Coming of Suzanne,1974
72189,Son of Dracula,1973
72206,Steppenwolf,1974
72226,The Sugarland Express,1974
72228,The Super Cops,1974
72251,The Taking of Pelham One Two Three,1974
72253,The Tamarind Seed,1974
72267,The Terminal Man,1974
72274,Thieves Like Us,1974
72281,The Three Musketeers,1973
72288,Thunderbolt and Lightfoot,1974
72305,Don't Touch the White Woman!,1974
72308,The Towering Inferno,1974
72364,The Voyage,1974
72368,"Vincent, François, Paul and the Others",1974
72386,W,1974
72403,The White Dawn,1974
72405,Who?,1974
72417,A Woman Under the Influence,1974
72431,Young Frankenstein,1974
72435,Zandy's Bride,1974
72594,92 in the Shade,1975
72600,Crime and Passion,1976
72608,The Adventure of Sherlock Holmes' Smarter Brother,1975
72653,The Apple Dumpling Gang,1975
72665,At Long Last Love,1975
72705,Bite the Bullet,1975
72725,Boss Nigger,1974
72730,A Boy and His Dog,1975
72732,Brannigan,1975
72735,Breakheart Pass,1975
72737,Breakout,1975
72747,Bucktown,1975
72761,Capone,1975
72785,Cipolla Colt,1975
72812,Conduct Unbecoming,1975
72837,Dog's Heart,1976
72848,The Day of the Locust,1975
72855,The Death Collector,1976
72856,Death Race 2000,1975
72867,Sharon's Baby,1975
72869,The Devil's Rain,1975
72876,Diagnosis: Murder,1975
72877,Diamonds,1975
72883,Distance,1975
72886,Doc Savage: The Man of Bronze,1975
72887,Docteur Françoise Gailland,1976
72893,Doktor Mladen,1975
72912,The Drowning Pool,1975
72926,The Eiger Sanction,1975
72951,Escape to Witch Mountain,1975
72973,"Farewell, My Lovely",1975
73001,The Twist,1976
73008,The Fortune,1975
73011,The Four Deuces,1975
73012,The Four Musketeers: Milady's Revenge,1974
73014,Foxtrot,1976
73026,Funny Lady,1975
73029,Galileo,1975
73039,The Gentleman Tramp,1976
73042,The Ghoul,1975
73069,The Great Adventure,1975
73074,The Great MacArthy,1975
73075,The Great Waldo Pepper,1975
73092,Hard Times,1975
73096,Hearts of the West,1975
73103,Hennessy,1975
73107,Hester Street,1975
73113,The Hindenburg,1975
73131,The 'Human' Factor,1975
73133,Hustle,1975
73158,In Celebration,1975
73169,Dirty Hands,1975
73172,Inserts,1975
73190,Once Is Not Enough,1975
73195,Jaws,1975
73213,Journey Into Fear,1975
73240,The Killer Elite,1975
73241,Killer Force,1976
73244,"King Arthur, the Young Warlord",1975
73278,Leonor,1975
73282,Let's Do It Again,1975
73298,Lisztomania,1975
73312,Love and Death,1975
73317,Lucky Lady,1975
73335,Mahogany,1975
73341,The Man Who Would Be King,1975
73345,The Man in the Glass Booth,1975
73399,The Money,1976
73426,The Cape of Good Hope,1975
73440,Nashville,1975
73453,Night Moves,1975
73458,Nishant,1975
73480,Mr. Quilp,1975
73486,One Flew Over the Cuckoo's Nest,1975
73501,Out of Season,1975
73507,Paco,1976
73526,Peeper,1975
73559,Posse,1975
73590,La pupa del gangster,1975
73600,Race with the Devil,1975
73605,Rancho Deluxe,1975
73615,The Reincarnation of Peter Proud,1975
73624,Return to Macon County,1975
73629,The Rocky Horror Picture Show,1975
73634,The Romantic Englishwoman,1975
73637,Rosebud,1975
73639,Royal Flash,1975
73646,Russian Roulette,1975
73660,The Assassination at Sarajevo,1975
73663,Le Sauvage,1975
73698,Sheila Levine Is Dead and Living in New York,1975
73722,Smile,1975
73733,The Devil Is a Woman,1974
73739,The Spiral Staircase,1975
73760,The Strongest Man in the World,1975
73765,Sunday Too Far Away,1975
73766,The Sunshine Boys,1975
73767,Supercock,1975
73802,Three Days of the Condor,1975
73812,Tommy,1975
73858,The Lost Honor of Katharina Blum,1975
73878,W.W. and the Dixie Dancekings,1975
73901,The Wilby Conspiracy,1975
73906,The Wind and the Lion,1975
73918,The Yakuza,1974
74083,Strange Shadows in an Empty Room,1976
74084,1900,1976
74112,Alex & the Gypsy,1976
74119,All the President's Men,1976
74173,Baby Blue Marine,1976
74184,Barocco,1976
74205,The Big Bus,1976
74207,The Bingo Long Traveling All-Stars & Motor Kings,1976
74225,The Blue Bird,1976
74235,Bound for Glory,1976
74254,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976
74258,Burnt Offerings,1976
74285,Carrie,1976
74292,The Cassandra Crossing,1976
74332,Come una rosa al naso,1976
74360,Cría Cuervos,1976
74381,Deadly Hero,1975
74409,A Dirty Knight's Work,1976
74423,The Sunday Woman,1975
74437,Drum,1976
74441,The Duchess and the Dirtwater Fox,1976
74452,The Eagle Has Landed,1976
74459,Echoes of a Summer,1976
74466,Eliza Fraser,1976
74475,Embryo,1976
74483,The Enforcer,1976
74512,Family Plot,1976
74559,Futureworld,1976
74562,Gable and Lombard,1976
74564,Gator,1976
74589,The Great Smokey Roadblock,1977
74597,The Gumball Rally,1976
74599,Gus,1976
74603,Hamlet,1976
74608,Harry and Walter Go to New York,1976
74611,The Haunting of Julia,1977
74659,I Will... I Will... For Now,1976
74695,Cross of Iron,1977
74706,Jackson County Jail,1976
74740,Keoma,1976
74749,The Killing of a Chinese Bookie,1976
74751,King Kong,1976
74769,Land of the Minotaur,1976
74776,The Last Hard Men,1976
74777,The Last Tycoon,1976
74798,Lifeguard,1976
74802,Lipstick,1976
74806,The Little Girl Who Lives Down the Lane,1976
74812,Logan's Run,1976
74826,Lumiere,1976
74836,Mad Dog Morgan,1976
74843,Death Rite,1976
74851,The Man Who Fell to Earth,1976
74860,Marathon Man,1976
74885,Mean Johnny Barrows,1975
74899,Midway,1976
74901,Mikey and Nicky,1976
74906,The Missouri Breaks,1976
74923,"Mother, Jugs & Speed",1976
74937,Murder by Death,1976
74958,Network,1976
74964,Nickelodeon,1976
74968,"No Deposit, No Return",1976
74991,Obsession,1976
74995,Ode to Billy Joe,1976
75013,One Away,1976
75014,Dragonfly,1976
75019,Operation: Daybreak,1975
75029,The Outlaw Josey Wales,1976
75043,The Passover Plot,1976
75089,Las poquianchis (De los pormenores y otros sucedidos del dominio público que acontecieron a las hermanas de triste memoria a quienes la maledicencia así las bautizó),1976
75091,The Last Mission of Demolitions Man Cloud,1978
75094,The Written Off Return,1976
75132,The Return of a Man Called Horse,1976
75140,End of the Game,1975
75145,The River Niger,1976
75147,Robin and Marian,1976
75148,Rocky,1976
75188,The Sell-Out,1976
75194,The Seven-Per-Cent Solution,1976
75212,Shoot,1976
75213,The Shootist,1976
75215,Si c'était à refaire,1976
75223,Silver Streak,1976
75235,A Small Town in Texas,1976
75238,Smuga cienia,1976
75263,St. Ives,1976
75265,A Star Is Born,1976
75268,Stay Hungry,1976
75294,Swashbuckler,1976
75307,Target of an Assassin,1977
75314,Taxi Driver,1976
75334,To the Devil a Daughter,1976
75345,Tracks,1976
75350,The Trespassers,1976
75357,Tunnel Vision,1976
75359,Two-Minute Warning,1976
75364,The Last Woman,1976
75393,Vigilante Force,1976
75406,Voyage of the Damned,1976
75409,W.C. Fields and Me,1976
75612,3 Women,1977
75614,The Psychic,1977
75627,Aces High,1976
75640,Age of Innocence,1977
75654,Alambrista!,1977
75675,The American Friend,1977
75677,The Amsterdam Kill,1977
75681,Angela,1977
75682,Anima persa,1977
75686,Annie Hall,1977
75716,Backroads,1977
75718,The Bad News Bears in Breaking Training,1977
75744,Between the Lines,1977
75745,Beyond Reason,1985
75753,Bilitis,1977
75763,Black Oak Conspiracy,1977
75765,Black Sunday,1977
75774,Bobby Deerfield,1977
75784,A Bridge Too Far,1977
75807,Candleshoe,1977
75809,The Car,1977
75815,Beach House,1977
75845,The Choirboys,1977
75848,Bye Bye Monkey,1978
75860,Close Encounters of the Third Kind,1977
75909,Damnation Alley,1977
75921,Death Game,1977
75925,The Deep,1977
75930,God Told Me To,1976
75944,The Disappearance,1977
75950,The Domino Principle,1977
75968,The Duellists,1977
75993,An Enemy of the People,1978
75995,Equus,1977
76009,Exorcist II: The Heretic,1977
76029,Fire Sale,1977
76033,First Love,1977
76038,Bloodbath,1979
76054,Freaky Friday,1976
76059,Fun with Dick and Jane,1977
76070,The Gauntlet,1977
76085,A Special Day,1977
76091,Golden Rendezvous,1977
76092,Goldenrod,1976
76099,Black Journal,1977
76102,The Biggest Battle,1978
76106,Greased Lightning,1977
76107,The Great Bank Hoax,1978
76113,Group Portrait with a Lady,1977
76123,Citizens Band,1977
76137,Herbie Goes to Monte Carlo,1977
76138,Heroes,1977
76141,High Anxiety,1977
76144,High Rolling in a Hot Corvette,1977
76145,High Velocity,1976
76161,The Hound of the Baskervilles,1978
76172,I Never Promised You a Rose Garden,1977
76175,March or Die,1977
76210,The Island of Dr. Moreau,1977
76221,Jabberwocky,1977
76234,Joseph Andrews,1977
76239,Joyride,1977
76245,Julia,1977
76276,Who's Singin' Over There?,1980
76297,The Last Remake of Beau Geste,1977
76301,The Late Show,1977
76308,Butterfly Cloud,1977
76316,The Left-Handed Woman,1978
76325,A Look at Liv,1979
76326,Looking Up,1977
76327,Looking for Mr. Goodbar,1977
76400,Wifemistress,1977
76401,Stop Calling Me Baby!,1977
76406,Monsieur Papa,1977
76409,Moonshine County Express,1977
76416,The Mouse and His Child,1977
76440,Nasty Habits,1977
76489,"Oh, God!",1977
76500,One on One,1977
76504,Orca,1977
76507,The Other Side of Midnight,1977
76543,A Piece of the Action,1977
76554,Magnum Cop,1978
76561,Portrait of a Hitman,1979
76567,The Private Files of J. Edgar Hoover,1977
76574,Providence,1977
76578,Pumping Iron,1977
76598,Assault in Paradise,1977
76618,The Rescuers,1977
76630,Rituals,1977
76636,Rollercoaster,1977
76637,Rolling Thunder,1977
76686,The Serpent's Egg,1977
76696,The Chess Players,1977
76697,She Came to the Valley,1979
76704,Shock Waves,1977
76715,Silver Bears,1977
76721,Skateboard,1978
76723,Slap Shot,1977
76725,Sleeping Dogs,1977
76729,Smokey and the Bandit,1977
76733,Sois belle et tais-toi,1981
76734,Soldier of Orange,1977
76755,The Squeeze,1977
76759,Star Wars: Episode IV - A New Hope,1977
76760,Starship Invasions,1977
76770,The Strange Case of the End of Civilization as We Know It,1977
76776,Stunts,1977
76780,Summer City,1977
76782,Summerfield,1977
76788,Sweeney!,1977
76789,Sweet Revenge,1976
76804,Telefon,1977
76809,Tentacles,1977
76815,Thieves,1977
76818,Three Warriors,1977
76832,Tomorrow Never Comes,1978
76843,The Turning Point,1977
76845,Twilight's Last Gleaming,1977
76847,"Another Man, Another Chance",1977
76851,The Purple Taxi,1977
76853,The Uncanny,1977
76890,Viva Knievel!,1977
76909,Welcome to Blood City,1977
76910,Welcome to L.A.,1976
76915,The White Buffalo,1977
76920,Why Shoot the Teacher?,1977
76933,The World's Greatest Lover,1977
77189,Avalanche,1978
77228,The Betsy,1978
77233,The Big Fix,1978
77234,The Big Sleep,1978
77235,Big Wednesday,1978
77248,Blue Collar,1978
77272,Brass Target,1978
77275,The Brink's Job,1978
77289,California Suite,1978
77294,Capricorn One,1977
77296,Caravans,1978
77303,Casey's Shadow,1978
77304,The Cat and the Canary,1978
77308,Le cavaleur,1979
77321,The Cheap Detective,1978
77324,The Dogs,1979
77327,"China 9, Liberty 37",1978
77341,The Class of Miss MacMichael,1978
77355,Coma,1978
77360,Comes a Horseman,1978
77362,Coming Home,1978
77369,Convoy,1978
77372,Corvette Summer,1978
77373,Stay as You Are,1978
77381,Crossed Swords,1977
77405,Days of Heaven,1978
77413,Death on the Nile,1978
77416,The Deer Hunter,1978
77428,It Rained All Night the Day I Left,1980
77450,Dominique,1979
77459,Double Murder,1977
77473,A Dream of Passion,1978
77474,The Driver,1978
77504,The End,1978
77523,Every Which Way but Loose,1978
77530,Eyes of Laura Mars,1978
77531,F.I.S.T.,1978
77534,Fairy Tales,1978
77548,A Night Full of Rain,1978
77572,Force 10 from Navarone,1978
77575,Speed Fever,1978
77578,Foul Play,1978
77588,The Fury,1978
77611,Atrocious Tales of Love and Death,1979
77613,Girlfriends,1978
77614,The Glove,1979
77620,Goin' Coconuts,1978
77621,Goin' South,1978
77629,Gray Lady Down,1978
77631,Grease,1978
77636,The Greek Tycoon,1978
77651,Halloween,1978
77669,A Hero Ain't Nothin' But a Sandwich,1978
77679,High-Ballin',1978
77686,Son of Hitler,1979
77696,Hooper,1978
77698,Hot Lead and Cold Feet,1978
77699,House Calls,1978
77711,Autumn Sonata,1978
77716,Ice Castles,1978
77728,In Praise of Older Women,1978
77742,Interiors,1978
77743,International Velvet,1978
77745,Invasion of the Body Snatchers,1978
77756,It Lives Again,1978
77758,Ja jsem stena smrti,1979
77766,Jaws 2,1978
77800,Killer Fish,1979
77807,King of the Gypsies,1978
77856,Little Boy Lost,1978
77872,Love and the Midnight Auto Supply,1977
77886,Madman,1978
77889,Magic,1978
